t,r,u,x1,x2
-17.5,40,37.1522214738743,38.3921120516833,38.7435067069783
-17.45,40,37.1524109465022,38.3931292304163,38.7443328469366
-17.4,40,37.1526014587511,38.3941458417507,38.7451577556264
-17.35,40,37.1527930008214,38.3951618838231,38.7459814428325
-17.3,40,37.1529855629507,38.3961773548035,38.7468039182522
-17.25,40,37.1531791354138,38.3971922528949,38.7476251914964
-17.2,40,37.153373708523,38.398206576333,38.7484452720893
-17.15,40,37.1535692726291,38.3992203233857,38.74926416947
-17.1,40,37.1537658181219,38.4002334923532,38.7500818929917
-17.05,40,37.1539633354297,38.401246081567,38.7508984519232
-17,40,37.1541618150209,38.4022580893903,38.7517138554488
-16.95,40,37.1543612474034,38.4032695142171,38.7525281126691
-16.9,40,37.1545616231256,38.4042803544719,38.7533412326014
-16.85,40,37.1547629327766,38.4052906086099,38.7541532241799
-16.8,40,37.154965166987,38.406300275116,38.7549640962568
-16.75,40,37.1551683164285,38.407309352505,38.7557738576021
-16.7,40,37.1553723718147,38.4083178393209,38.7565825169046
-16.65,40,37.1555773239013,38.4093257341369,38.7573900827722
-16.6,40,37.1557831634866,38.4103330355547,38.7581965637324
-16.55,40,37.1559898814115,38.4113397422046,38.7590019682326
-16.5,40,37.1561974685604,38.4123458527449,38.7598063046411
-16.45,40,37.1564059158608,38.4133513658618,38.7606095812472
-16.4,40,37.1566152142842,38.414356280269,38.7614118062614
-16.35,40,37.1568253548454,38.4153605947071,38.7622129878168
-16.3,40,37.1570363286042,38.4163643079438,38.7630131339686
-16.25,40,37.1572481266644,38.4173674187734,38.7638122526954
-16.2,40,37.1574607401749,38.4183699260165,38.7646103518991
-16.15,40,37.1576741603291,38.4193718285193,38.7654074394057
-16.1,40,37.1578883783662,38.4203731251543,38.7662035229656
-16.05,40,37.1581033855703,38.4213738148188,38.7669986102546
-16,40,37.1583191732718,38.4223738964356,38.7677927088735
-15.95,40,37.158535732846,38.4233733689521,38.7685858263494
-15.9,40,37.1587530557146,38.4243722313404,38.7693779701359
-15.85,40,37.1589711333457,38.4253704825967,38.7701691476134
-15.8,40,37.1591899572537,38.4263681217413,38.7709593660899
-15.75,40,37.1594095189995,38.427365147818,38.7717486328014
-15.7,40,37.1596298101904,38.4283615598942,38.7725369549122
-15.65,40,37.1598508224811,38.4293573570605,38.7733243395157
-15.6,40,37.1600725475726,38.43035253843,38.7741107936347
-15.55,40,37.1602949772137,38.4313471031389,38.7748963242218
-15.5,40,37.1605181031999,38.4323410503453,38.77568093816
-15.45,40,37.1607419173746,38.4333343792297,38.7764646422635
-15.4,40,37.1609664116276,38.4343270889942,38.7772474432775
-15.35,40,37.1611915778975,38.4353191788625,38.7780293478794
-15.3,40,37.1614174081697,38.4363106480796,38.7788103626785
-15.25,40,37.1616438944777,38.4373014959115,38.7795904942174
-15.2,40,37.1618710289027,38.4382917216452,38.7803697489718
-15.15,40,37.1620988035739,38.4392813245878,38.7811481333512
-15.1,40,37.1623272106681,38.440270304067,38.7819256536994
-15.05,40,37.1625562424104,38.4412586594306,38.782702316295
-15,40,37.1627858910742,38.4422463900459,38.7834781273517
-14.95,40,37.1630161489803,38.4432334952999,38.7842530930191
-14.9,40,37.1632470084985,38.4442199745988,38.7850272193828
-14.85,40,37.1634784620455,38.4452058273682,38.7858005124653
-14.8,40,37.1637105020881,38.446191053052,38.7865729782259
-14.75,40,37.1639431211393,38.4471756511131,38.7873446225619
-14.7,40,37.1641763117619,38.4481596210325,38.7881154513084
-14.65,40,37.1644100665661,38.4491429623096,38.7888854702392
-14.6,40,37.1646443782103,38.4501256744615,38.789654685067
-14.55,40,37.1648792394016,38.451107757023,38.7904231014441
-14.5,40,37.165114642895,38.4520892095463,38.7911907249628
-14.45,40,37.1653505814938,38.453070031601,38.7919575611556
-14.4,40,37.1655870480499,38.4540502227735,38.792723615496
-14.35,40,37.1658240354626,38.4550297826671,38.793488893399
-14.3,40,37.1660615366798,38.4560087109016,38.7942534002211
-14.25,40,37.1662995446976,38.4569870071133,38.7950171412614
-14.2,40,37.1665380525598,38.4579646709544,38.7957801217614
-14.15,40,37.1667770533586,38.4589417020933,38.796542346906
-14.1,40,37.1670165402336,38.4599181002138,38.7973038218236
-14.05,40,37.1672565063733,38.4608938650156,38.7980645515868
-14,40,37.1674969450128,38.4618689962133,38.7988245412126
-13.95,40,37.1677378494364,38.462843493537,38.799583795663
-13.9,40,37.1679792129752,38.4638173567314,38.8003423198455
-13.85,40,37.168221029008,38.464790585556,38.8011001186135
-13.8,40,37.1684632909614,38.4657631797848,38.8018571967665
-13.75,40,37.1687059923091,38.4667351392062,38.802613559051
-13.7,40,37.1689491265728,38.4677064636225,38.8033692101606
-13.65,40,37.1691926873216,38.4686771528503,38.8041241547365
-13.6,40,37.169436668171,38.4696472067195,38.8048783973681
-13.55,40,37.1696810627843,38.4706166250738,38.805631942593
-13.5,40,37.1699258648717,38.4715854077702,38.8063847948982
-13.45,40,37.1701710681902,38.4725535546789,38.8071369587196
-13.4,40,37.1704166665435,38.473521065683,38.8078884384433
-13.35,40,37.1706626537824,38.4744879406785,38.8086392384052
-13.3,40,37.1709090238045,38.475454179574,38.8093893628923
-13.25,40,37.1711557705531,38.4764197822905,38.8101388161424
-13.2,40,37.1714028880183,38.4773847487614,38.8108876023447
-13.15,40,37.1716503702364,38.4783490789322,38.8116357256407
-13.1,40,37.1718982112899,38.47931277276,38.8123831901238
-13.05,40,37.1721464053069,38.4802758302142,38.8131299998403
-13,40,37.172394946462,38.4812382512753,38.8138761587899
-12.95,40,37.172643828975,38.4822000359354,38.8146216709254
-12.9,40,37.1728930471111,38.483161184198,38.8153665401541
-12.85,40,37.1731425951814,38.4841216960776,38.8161107703372
-12.8,40,37.173392467542,38.4850815715994,38.8168543652909
-12.75,40,37.1736426585947,38.4860408107996,38.8175973287867
-12.7,40,37.1738931627851,38.486999413725,38.8183396645516
-12.65,40,37.174143974605,38.4879573804329,38.8190813762685
-12.6,40,37.1743950885896,38.4889147109906,38.8198224675768
-12.55,40,37.1746464993194,38.4898714054759,38.8205629420726
-12.5,40,37.1748982014193,38.4908274639764,38.8213028033092
-12.45,40,37.1751501895581,38.4917828865895,38.8220420547976
-12.4,40,37.1754024584486,38.4927376734223,38.8227807000066
-12.35,40,37.1756550028474,38.4936918245916,38.8235187423633
-12.3,40,37.1759078175557,38.4946453402234,38.8242561852536
-12.25,40,37.176160897417,38.495598220453,38.8249930320226
-12.2,40,37.1764142373183,38.4965504654249,38.8257292859748
-12.15,40,37.1766678321904,38.4975020752923,38.8264649503744
-12.1,40,37.1769216770071,38.4984530502175,38.8272000284461
-12.05,40,37.1771757667846,38.4994033903714,38.827934523375
-12,40,37.1774300965816,38.5003530959333,38.8286684383074
-11.95,40,37.1776846614997,38.5013021670911,38.8294017763508
-11.9,40,37.1779394566826,38.5022506040408,38.8301345405743
-11.85,40,37.1781944773164,38.5031984069866,38.8308667340094
-11.8,40,37.1784497186286,38.5041455761408,38.8315983596498
-11.75,40,37.1787051758887,38.5050921117234,38.832329420452
-11.7,40,37.1789608444076,38.5060380139623,38.8330599193358
-11.65,40,37.1792167195373,38.506983283093,38.8337898591845
-11.6,40,37.1794727966716,38.5079279193583,38.8345192428451
-11.55,40,37.1797290712447,38.5088719230086,38.8352480731291
-11.5,40,37.1799855387322,38.5098152943015,38.8359763528122
-11.45,40,37.1802421946495,38.5107580335016,38.8367040846353
-11.4,40,37.1804990345525,38.5117001408805,38.8374312713046
-11.35,40,37.1807560540377,38.5126416167169,38.8381579154917
-11.3,40,37.1810132487414,38.513582461296,38.8388840198343
-11.25,40,37.1812706143393,38.5145226749098,38.8396095869362
-11.2,40,37.181528146547,38.5154622578568,38.8403346193681
-11.15,40,37.1817858411193,38.5164012104418,38.8410591196673
-11.1,40,37.1820436938504,38.5173395329762,38.8417830903388
-11.05,40,37.1823017005731,38.5182772257772,38.8425065338549
-11,40,37.1825598571594,38.5192142891684,38.8432294526559
-10.95,40,37.1828181595193,38.5201507234792,38.8439518491504
-10.9,40,37.1830766036016,38.5210865290449,38.8446737257157
-10.85,40,37.1833351853931,38.5220217062066,38.8453950846978
-10.8,40,37.1835939009183,38.5229562553109,38.846115928412
-10.75,40,37.1838527462395,38.5238901767103,38.8468362591433
-10.7,40,37.1841117174567,38.5248234707623,38.8475560791464
-10.65,40,37.1843708107073,38.52575613783,38.8482753906462
-10.6,40,37.1846300221647,38.5266881782818,38.848994195838
-10.55,40,37.1848893480407,38.527619592491,38.849712496888
-10.5,40,37.1851487845826,38.5285503808362,38.8504302959336
-10.45,40,37.1854083280751,38.5294805437007,38.8511475950833
-10.4,40,37.185667974838,38.5304100814729,38.8518643964176
-10.35,40,37.1859277212281,38.5313389945457,38.8525807019887
-10.3,40,37.1861875636378,38.532267283317,38.8532965138214
-10.25,40,37.1864474984944,38.5331949481889,38.8540118339129
-10.2,40,37.1867075222614,38.5341219895683,38.8547266642333
-10.15,40,37.1869676314371,38.5350484078662,38.8554410067258
-10.1,40,37.1872278225549,38.5359742034981,38.8561548633073
-10.05,40,37.1874880921824,38.5368993768836,38.8568682358683
-10,40,37.1877484369225,38.5378239284466,38.8575811262731
-9.95,40,37.1880088534118,38.5387478586149,38.8582935363608
-9.89999999999999,40,37.1882693383216,38.5396711678202,38.8590054679447
-9.84999999999999,40,37.1885298883562,38.5405938564981,38.8597169228132
-9.8,40,37.1887905002545,38.5415159250881,38.8604279027295
-9.75,40,37.1890511707882,38.5424373740333,38.8611384094327
-9.7,40,37.1893118967628,38.5433582037806,38.8618484446373
-9.64999999999999,40,37.1895726750157,38.5442784147801,38.8625580100336
-9.59999999999999,40,37.189833502418,38.5451980074857,38.8632671072886
-9.55,40,37.1900943758735,38.5461169823545,38.8639757380454
-9.5,40,37.1903552923178,38.547035339847,38.8646839039239
-9.45,40,37.1906162487192,38.5479530804269,38.8653916065212
-9.39999999999999,40,37.1908772420774,38.5488702045611,38.8660988474114
-9.34999999999999,40,37.1911382694239,38.5497867127195,38.8668056281465
-9.3,40,37.1913993278223,38.5507026053752,38.867511950256
-9.25,40,37.1916604143667,38.5516178830039,38.8682178152474
-9.2,40,37.191921526183,38.5525325460845,38.8689232246067
